index,key,scenario,algorithm,experiment,file,ext
946,crossing1_PURE_SFM_experiment_1,crossing1,PURE_SFM,1,crossing1/PURE_SFM/experiment_1.mp4,mp4
947,crossing1_PURE_SFM_experiment_2,crossing1,PURE_SFM,2,crossing1/PURE_SFM/experiment_2.mp4,mp4
948,crossing1_PURE_SFM_experiment_3,crossing1,PURE_SFM,3,crossing1/PURE_SFM/experiment_3.mp4,mp4
949,crossing1_PURE_SFM_experiment_4,crossing1,PURE_SFM,4,crossing1/PURE_SFM/experiment_4.mp4,mp4
950,crossing1_PURE_SFM_experiment_5,crossing1,PURE_SFM,5,crossing1/PURE_SFM/experiment_5.mp4,mp4
951,crossing2_DWA_experiment_2,crossing2,DWA,2,crossing2/DWA/experiment_2.mp4,mp4
952,crossing2_DWA_experiment_3,crossing2,DWA,3,crossing2/DWA/experiment_3.mp4,mp4
953,crossing2_DWA_experiment_4,crossing2,DWA,4,crossing2/DWA/experiment_4.mp4,mp4
954,crossing2_DWA_experiment_5,crossing2,DWA,5,crossing2/DWA/experiment_5.mp4,mp4
955,crossing2_DWAsocialcostmap_experiment_1,crossing2,DWAsocialcostmap,1,crossing2/DWAsocialcostmap/experiment_1.mp4,mp4
956,crossing2_DWAsocialcostmap_experiment_2,crossing2,DWAsocialcostmap,2,crossing2/DWAsocialcostmap/experiment_2.mp4,mp4
957,crossing2_DWAsocialcostmap_experiment_3,crossing2,DWAsocialcostmap,3,crossing2/DWAsocialcostmap/experiment_3.mp4,mp4
958,crossing2_DWAsocialcostmap_experiment_4,crossing2,DWAsocialcostmap,4,crossing2/DWAsocialcostmap/experiment_4.mp4,mp4
959,crossing2_DWAsocialcostmap_experiment_5,crossing2,DWAsocialcostmap,5,crossing2/DWAsocialcostmap/experiment_5.mp4,mp4
960,crossing2_SFM_experiment_1,crossing2,SFM,1,crossing2/SFM/experiment_1.mp4,mp4
961,crossing2_SFM_experiment_2,crossing2,SFM,2,crossing2/SFM/experiment_2.mp4,mp4
962,crossing2_SFM_experiment_3,crossing2,SFM,3,crossing2/SFM/experiment_3.mp4,mp4
963,crossing2_SFM_experiment_4,crossing2,SFM,4,crossing2/SFM/experiment_4.mp4,mp4
964,crossing2_SFM_experiment_5,crossing2,SFM,5,crossing2/SFM/experiment_5.mp4,mp4
965,crossing2_MPPI_experiment_1,crossing2,MPPI,1,crossing2/MPPI/experiment_1.mp4,mp4
966,crossing2_MPPI_experiment_2,crossing2,MPPI,2,crossing2/MPPI/experiment_2.mp4,mp4
967,crossing2_MPPI_experiment_3,crossing2,MPPI,3,crossing2/MPPI/experiment_3.mp4,mp4
968,crossing2_MPPI_experiment_4,crossing2,MPPI,4,crossing2/MPPI/experiment_4.mp4,mp4
969,crossing2_MPPI_experiment_5,crossing2,MPPI,5,crossing2/MPPI/experiment_5.mp4,mp4
970,crossing2_MPPIsocialcostmap_experiment_1,crossing2,MPPIsocialcostmap,1,crossing2/MPPIsocialcostmap/experiment_1.mp4,mp4
971,crossing2_MPPIsocialcostmap_experiment_2,crossing2,MPPIsocialcostmap,2,crossing2/MPPIsocialcostmap/experiment_2.mp4,mp4
972,crossing2_MPPIsocialcostmap_experiment_3,crossing2,MPPIsocialcostmap,3,crossing2/MPPIsocialcostmap/experiment_3.mp4,mp4
973,crossing2_MPPIsocialcostmap_experiment_4,crossing2,MPPIsocialcostmap,4,crossing2/MPPIsocialcostmap/experiment_4.mp4,mp4
974,crossing2_MPPIsocialcostmap_experiment_5,crossing2,MPPIsocialcostmap,5,crossing2/MPPIsocialcostmap/experiment_5.mp4,mp4
975,crossing2_socialMPPI_experiment_1,crossing2,socialMPPI,1,crossing2/socialMPPI/experiment_1.mp4,mp4
976,crossing2_socialMPPI_experiment_2,crossing2,socialMPPI,2,crossing2/socialMPPI/experiment_2.mp4,mp4
977,crossing2_socialMPPI_experiment_3,crossing2,socialMPPI,3,crossing2/socialMPPI/experiment_3.mp4,mp4
